Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
17,African Anthropologist,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
18,Cameroon Journal of Agricultural Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
19,Cameroon Journal of Experimental Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
20,Clinics in Mother and Child Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
21,International Journal of Biological and Chemical Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
22,Investigational Medicinal Chemistry and Pharmacology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
23,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
24,Revue Africaine de Chirurgie et Spécialités,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
25,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
26,Revue de Médecine et de Pharmacie,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
27,Abia State University Medical Students' Association Journal,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
28,African Journal for the Psychological Study of Social Issues,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
29,African Journal of Anaesthesia and Intensive Care,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
30,African Journal of Biomedical Research  ,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
